"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-14","14.54",,"0.00","0.0","0.0","54","57","47","  320","  290","25.9","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-15","13.87",,"0.00","0.0","0.0","48","54","42","  310","  330","23.0","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-16","19.69",,"0.00","0.0","0.0","46","50","38","  260","  300","30.0","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-17","11.18",,"0.04","0.0","0.0","42","50","36","  200","  210","23.0","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-18","10.96",,"0.09","0.0","0.0","44","47","40","  330","  330","21.9","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-19","15.21",,"0.00","0.0","0.0","47","59","36","  180","  190","28.0","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-20","10.29",,"0.00","0.0","0.0","52","55","43","  350","  360","19.9","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-21","18.34",,"0.36","0.0","0.0","49","56","39","  320","  180","38.0","44.1","    1",,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-22","18.79",,"0.00","0.0","0.0","44","52","36","  290","  280","33.1","40.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-23","6.49",,"0.13","0.0","0.0","44","48","39","  330","  330","16.1","19.0","    1",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-24","11.41",,"0.60","0.0","0.0","46","50","43","   40","   50","23.0","27.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-25","6.71",,"0.00","0.0","0.0","50","61","39","  170","  150","18.1","25.1","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-26","12.75",,"0.17","0.0","0.0","49","51","43","   80","   70","23.0","36.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-27","16.78",,"0.00","0.0","0.0","44","50","39","  360","  360","25.9","31.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-28","10.29",,"0.00","0.0","0.0","49","64","40","  190","  320","23.0","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-29","14.76",,"0.01","0.0","0.0","48","55","42","   90","  110","25.9","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-30","23.71",,"0.37","0.0","0.0","52","58","49","  120","  120","35.1","48.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-01","8.72",,"0.22","0.0","0.0","55","62","51","  320","  310","25.1","32.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-02","14.32",,"0.00","0.0","0.0","62","74","50","  330","  330","29.1","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-03","10.74",,"0.11","0.0","0.0","62","73","53","  220","  230","18.1","21.0","    1",,,,,,,
